rep,size,num_streams,block_size,section,dur
0,1024,64,64,stream-39,1.369600e-05
0,1024,64,64,stream-54,1.244800e-05
0,1024,64,128,total,1.426720e-03
0,1024,64,128,stream-62,1.276800e-05
0,1024,64,128,stream-60,1.328000e-05
0,1024,64,128,stream-21,1.369600e-05
0,1024,64,128,stream-18,1.280000e-05
0,1024,64,128,stream-25,1.331200e-05
0,1024,64,128,stream-53,1.312000e-05
0,1024,64,128,stream-56,1.388800e-05
0,1024,64,128,stream-13,1.366400e-05
0,1024,64,128,stream-0,1.804800e-05
0,1024,64,128,stream-20,1.340800e-05
0,1024,64,128,stream-17,1.276800e-05
0,1024,64,128,stream-46,1.254400e-05
0,1024,64,128,stream-3,1.420800e-05
0,1024,64,128,stream-4,1.318400e-05
0,1024,64,128,stream-2,1.315200e-05
0,1024,64,128,stream-24,1.401600e-05
0,1024,64,128,stream-27,1.433600e-05
0,1024,64,128,stream-38,1.328000e-05
0,1024,64,128,stream-55,1.283200e-05
0,1024,64,128,stream-28,1.417600e-05
0,1024,64,128,stream-11,1.398400e-05
0,1024,64,128,stream-57,1.433600e-05
0,1024,64,128,stream-9,1.228800e-05
0,1024,64,128,stream-19,1.433600e-05
0,1024,64,128,stream-23,1.433600e-05
0,1024,64,128,stream-26,1.414400e-05
0,1024,64,128,stream-7,1.433600e-05
0,1024,64,128,stream-41,1.267200e-05
0,1024,64,128,stream-6,1.398400e-05
0,1024,64,128,stream-45,1.360000e-05
0,1024,64,128,stream-63,1.878400e-05
0,1024,64,128,stream-15,1.353600e-05
0,1024,64,128,stream-40,1.433600e-05
0,1024,64,128,stream-61,1.283200e-05
0,1024,64,128,stream-8,1.232000e-05
0,1024,64,128,stream-10,1.356800e-05
0,1024,64,128,stream-1,1.436800e-05
0,1024,64,128,stream-16,1.433600e-05
0,1024,64,128,stream-30,1.411200e-05
0,1024,64,128,stream-31,1.401600e-05
0,1024,64,128,stream-32,1.433600e-05
0,1024,64,128,stream-44,1.251200e-05
0,1024,64,128,stream-49,1.350400e-05
0,1024,64,128,stream-59,1.254400e-05
0,1024,64,128,stream-33,1.331200e-05
0,1024,64,128,stream-36,1.321600e-05
0,1024,64,128,stream-34,1.433600e-05
0,1024,64,128,stream-35,1.308800e-05
0,1024,64,128,stream-29,1.430400e-05
0,1024,64,128,stream-37,1.420800e-05
0,1024,64,128,stream-22,1.360000e-05
0,1024,64,128,stream-42,1.305600e-05
0,1024,64,128,stream-12,1.347200e-05
0,1024,64,128,stream-43,1.372800e-05
0,1024,64,128,stream-47,1.299200e-05
0,1024,64,128,stream-50,1.372800e-05
0,1024,64,128,stream-5,1.292800e-05
0,1024,64,128,stream-48,1.417600e-05
0,1024,64,128,stream-51,1.228800e-05
0,1024,64,128,stream-52,1.280000e-05
0,1024,64,128,stream-58,1.280000e-05
0,1024,64,128,stream-14,1.321600e-05
