rep,size,num_streams,block_size,section,dur
13,1024,1,256,total,6.483200e-05
13,1024,1,512,total,6.435200e-05
13,1024,1,1024,total,6.505600e-05
13,1024,2,32,total,7.833600e-05
13,1024,2,64,total,7.859201e-05
13,1024,2,128,total,7.868800e-05
13,1024,2,256,total,7.987200e-05
13,1024,2,512,total,7.948800e-05
13,1024,2,1024,total,8.028800e-05
13,1024,4,32,total,1.107200e-04
13,1024,4,64,total,1.092480e-04
13,1024,4,128,total,1.095680e-04
13,1024,4,256,total,1.100800e-04
13,1024,4,512,total,1.085440e-04
13,1024,4,1024,total,1.095040e-04
13,1024,8,32,total,1.796160e-04
13,1024,8,64,total,1.933760e-04
13,1024,8,128,total,1.680640e-04
13,1024,8,256,total,1.682560e-04
13,1024,8,512,total,1.639360e-04
13,1024,8,1024,total,1.679360e-04
13,1024,16,32,total,2.928640e-04
13,1024,16,64,total,2.854720e-04
13,1024,16,128,total,2.812480e-04
13,1024,16,256,total,3.192640e-04
13,1024,16,512,total,2.886720e-04
13,1024,16,1024,total,3.092480e-04
13,1024,32,32,total,5.249280e-04
13,1024,32,64,total,5.221760e-04
13,1024,32,128,total,5.265920e-04
13,1024,32,256,total,5.452480e-04
13,1024,32,512,total,5.227520e-04
13,1024,32,1024,total,5.427200e-04
13,1024,64,32,total,1.019904e-03
13,1024,64,64,total,1.005568e-03
13,1024,64,128,total,1.011712e-03
13,1024,64,256,total,1.061120e-03
13,1024,64,512,total,1.014688e-03
13,1024,64,1024,total,1.005568e-03
14,1024,1,32,total,6.643200e-05
14,1024,1,64,total,6.595200e-05
14,1024,1,128,total,6.553600e-05
14,1024,1,256,total,6.553600e-05
14,1024,1,512,total,6.553600e-05
14,1024,1,1024,total,6.464000e-05
14,1024,2,32,total,7.987200e-05
14,1024,2,64,total,7.977599e-05
14,1024,2,128,total,8.035200e-05
14,1024,2,256,total,8.115200e-05
14,1024,2,512,total,7.859201e-05
14,1024,2,1024,total,7.952000e-05
14,1024,4,32,total,1.105920e-04
14,1024,4,64,total,1.104640e-04
14,1024,4,128,total,1.087360e-04
14,1024,4,256,total,1.104000e-04
14,1024,4,512,total,1.094080e-04
14,1024,4,1024,total,1.100480e-04
14,1024,8,32,total,1.663360e-04
14,1024,8,64,total,1.936640e-04
14,1024,8,128,total,1.671680e-04
14,1024,8,256,total,1.679360e-04
14,1024,8,512,total,1.688000e-04
14,1024,8,1024,total,1.658880e-04
14,1024,16,32,total,2.856960e-04
14,1024,16,64,total,2.832960e-04
14,1024,16,128,total,2.850240e-04
14,1024,16,256,total,2.829760e-04
14,1024,16,512,total,3.006400e-04
14,1024,16,1024,total,3.102720e-04
14,1024,32,32,total,5.226240e-04
14,1024,32,64,total,5.231040e-04
14,1024,32,128,total,5.190400e-04
14,1024,32,256,total,5.470720e-04
14,1024,32,512,total,5.206400e-04
14,1024,32,1024,total,5.280960e-04
14,1024,64,32,total,1.011712e-03
14,1024,64,64,total,1.011648e-03
14,1024,64,128,total,1.010240e-03
14,1024,64,256,total,1.038848e-03
14,1024,64,512,total,1.002112e-03
14,1024,64,1024,total,1.007488e-03
