rep,algo,x,y,section,dur
13,stock,8,8,total,3.877664e-03
13,stock,8,8,kernel,2.529280e-04
13,v1,8,8,total,1.984512e-03
13,v1,8,8,kernel,4.403200e-04
13,stock,8,16,total,5.395200e-03
13,stock,8,16,kernel,2.539520e-04
13,v1,8,16,total,5.932224e-03
13,v1,8,16,kernel,4.392960e-04
13,stock,16,16,total,2.021344e-03
13,stock,16,16,kernel,2.498560e-04
13,v1,16,16,total,3.573152e-03
13,v1,16,16,kernel,4.341760e-04
13,stock,24,24,total,2.048736e-03
13,stock,24,24,kernel,2.641920e-04
13,v1,24,24,total,5.069152e-03
13,v1,24,24,kernel,4.382720e-04
13,stock,16,32,total,2.069536e-03
13,stock,16,32,kernel,2.508800e-04
13,v1,16,32,total,1.964160e-03
13,v1,16,32,kernel,4.290560e-04
13,stock,32,32,total,2.029920e-03
13,stock,32,32,kernel,2.641920e-04
13,v1,32,32,total,1.951104e-03
13,v1,32,32,kernel,4.280320e-04
14,cpu,,,total,2.282223e-01
14,stock,8,4,total,2.052864e-03
14,stock,8,4,kernel,2.560000e-04
14,v1,8,4,total,3.790368e-03
14,v1,8,4,kernel,4.362240e-04
14,stock,8,8,total,2.031328e-03
14,stock,8,8,kernel,2.549760e-04
14,v1,8,8,total,4.662944e-03
14,v1,8,8,kernel,4.382720e-04
14,stock,8,16,total,4.741856e-03
14,stock,8,16,kernel,2.529280e-04
14,v1,8,16,total,1.961536e-03
14,v1,8,16,kernel,4.383040e-04
14,stock,16,16,total,2.008960e-03
14,stock,16,16,kernel,2.498560e-04
14,v1,16,16,total,4.958336e-03
14,v1,16,16,kernel,4.331520e-04
14,stock,24,24,total,2.060224e-03
14,stock,24,24,kernel,2.600960e-04
14,v1,24,24,total,5.177888e-03
14,v1,24,24,kernel,4.321280e-04
14,stock,16,32,total,2.040256e-03
14,stock,16,32,kernel,2.508800e-04
14,v1,16,32,total,3.381312e-03
14,v1,16,32,kernel,4.290560e-04
14,stock,32,32,total,2.050048e-03
14,stock,32,32,kernel,2.641920e-04
14,v1,32,32,total,1.953408e-03
14,v1,32,32,kernel,4.270080e-04
15,cpu,,,total,2.283089e-01
15,stock,8,4,total,3.668832e-03
15,stock,8,4,kernel,2.580480e-04
15,v1,8,4,total,1.984736e-03
15,v1,8,4,kernel,4.362240e-04
